0;250001;[[1353888001000000.0, -6.463302, 53.355042], [1353888021000000.0, -6.46299, 53.354073], [1353888042000000.0, -6.462875, 53.353497], [1353888062000000.0, -6.462875, 53.353497], [1353888082000000.0, -6.4625, 53.355667], [1353888103000000.0, -6.473983, 53.358082], [1353888121000000.0, -6.474717, 53.358601], [1353888141000000.0, -6.474267, 53.359467], [1353888162000000.0, -6.470317, 53.358467], [1353888182000000.0, -6.465517, 53.357216], [1353888203000000.0, -6.4612, 53.355301], [1353888223000000.0, -6.457417, 53.353268], [1353888241000000.0, -6.453017, 53.351768], [1353888262000000.0, -6.447717, 53.351002], [1353888284000000.0, -6.442283, 53.351082], [1353888302000000.0, -6.437067, 53.352085], [1353888321000000.0, -6.43255, 53.353951], [1353888341000000.0, -6.428283, 53.356049], [1353888382000000.0, -6.418817, 53.359135], [1353888403000000.0, -6.41355, 53.359051], [1353888423000000.0, -6.4084, 53.358349], [1353888442000000.0, -6.403266, 53.357132], [1353888460000000.0, -6.398117, 53.355949], [1353888481000000.0, -6.392667, 53.355949], [1353888501000000.0, -6.387317, 53.356701], [1353888522000000.0, -6.3821, 53.357201], [1353888542000000.0, -6.376867, 53.356266], [1353888562000000.0, -6.372583, 53.355217], [1353888582000000.0, -6.368017, 53.354084], [1353888601000000.0, -6.362916, 53.353317], [1353888642000000.0, -6.353783, 53.350216], [1353888662000000.0, -6.348917, 53.348633], [1353888683000000.0, -6.34655, 53.345798], [1353888703000000.0, -6.341583, 53.344635], [1353888721000000.0, -6.33615, 53.344982], [1353888762000000.0, -6.462875, 53.353497], [1353888782000000.0, -6.320817, 53.343082], [1353888803000000.0, -6.316033, 53.343117], [1353888823000000.0, -6.311267, 53.343433], [1353888843000000.0, -6.3082, 53.343884], [1353888864000000.0, -6.30825, 53.345966], [1353888882000000.0, -6.308383, 53.347965], [1353888902000000.0, -6.305817, 53.348385], [1353888923000000.0, -6.30205, 53.348316], [1353888943000000.0, -6.30205, 53.348316], [1353888982000000.0, -6.296783, 53.34795], [1353889002000000.0, -6.29685, 53.347935], [1353889022000000.0, -6.29685, 53.347916], [1353889043000000.0, -6.29685, 53.3479]]
1;650003;[[1353888001000000.0, -6.463313, 53.227394], [1353888021000000.0, -6.466042, 53.224781], [1353888042000000.0, -6.468209, 53.222347], [1353888062000000.0, -6.469845, 53.220337], [1353888082000000.0, -6.473103, 53.217518], [1353888103000000.0, -6.476646, 53.215134], [1353888121000000.0, -6.481364, 53.213844], [1353888141000000.0, -6.48458, 53.211739], [1353888162000000.0, -6.488358, 53.209206], [1353888182000000.0, -6.491818, 53.207397], [1353888201000000.0, -6.495039, 53.205807], [1353888221000000.0, -6.498074, 53.203701], [1353888241000000.0, -6.501852, 53.201336], [1353888262000000.0, -6.504463, 53.199394], [1353888284000000.0, -6.506726, 53.197338], [1353888302000000.0, -6.509346, 53.195267], [1353888321000000.0, -6.511083, 53.192589], [1353888341000000.0, -6.513709, 53.190186], [1353888360000000.0, -6.516792, 53.187782], [1353888380000000.0, -6.519468, 53.185875], [1353888400000000.0, -6.522003, 53.183502], [1353888421000000.0, -6.523976, 53.18092], [1353888442000000.0, -6.525341, 53.178726], [1353888460000000.0, -6.526896, 53.176105], [1353888481000000.0, -6.528817, 53.173843], [1353888501000000.0, -6.530734, 53.172138], [1353888521000000.0, -6.530734, 53.172138], [1353888542000000.0, -6.530734, 53.172138], [1353888562000000.0, -6.530734, 53.172138], [1353888566000000.0, -6.53415, 53.169617]]
2;651003;[[1353888902000000.0, -6.539333, 53.165318], [1353888923000000.0, -6.539333, 53.165318], [1353888943000000.0, -6.539333, 53.165318], [1353888963000000.0, -6.539333, 53.165318], [1353888982000000.0, -6.539333, 53.165318], [1353889002000000.0, -6.539333, 53.165318], [1353889022000000.0, -6.539333, 53.165318], [1353889043000000.0, -6.539333, 53.165318], [1353889061000000.0, -6.539333, 53.165318], [1353889083000000.0, -6.539333, 53.165318], [1353889102000000.0, -6.539333, 53.165318], [1353889122000000.0, -6.539333, 53.165318], [1353889144000000.0, -6.539333, 53.165318], [1353889165000000.0, -6.53935, 53.165318], [1353889183000000.0, -6.539333, 53.165318], [1353889203000000.0, -6.539333, 53.165318], [1353889224000000.0, -6.539333, 53.165318], [1353889228000000.0, -6.534852, 53.169003], [1353889242000000.0, -6.534852, 53.169003], [1353889262000000.0, -6.534852, 53.169003], [1353889283000000.0, -6.534852, 53.169003], [1353889289000000.0, -6.527979, 53.174812], [1353889303000000.0, -6.527979, 53.174812], [1353889324000000.0, -6.527979, 53.174812], [1353889344000000.0, -6.527979, 53.174812], [1353889348000000.0, -6.526094, 53.177513], [1353889364000000.0, -6.526094, 53.177513], [1353889383000000.0, -6.526094, 53.177513], [1353889403000000.0, -6.526094, 53.177513], [1353889407000000.0, -6.522609, 53.182858], [1353889423000000.0, -6.522609, 53.182858], [1353889444000000.0, -6.526025, 53.177635], [1353889462000000.0, -6.524427, 53.180187], [1353889483000000.0, -6.522696, 53.182766], [1353889503000000.0, -6.520424, 53.185089], [1353889523000000.0, -6.51908, 53.186161], [1353889544000000.0, -6.518216, 53.186775], [1353889564000000.0, -6.515557, 53.188812], [1353889582000000.0, -6.512208, 53.191441], [1353889602000000.0, -6.510029, 53.194221], [1353889623000000.0, -6.508435, 53.196045], [1353889643000000.0, -6.506129, 53.197762], [1353889663000000.0, -6.503738, 53.199921], [1353889684000000.0, -6.501424, 53.2015], [1353889704000000.0, -6.500902, 53.201847], [1353889722000000.0, -6.498492, 53.203358], [1353889743000000.0, -6.495859, 53.205254], [1353889765000000.0, -6.492795, 53.206944], [1353889785000000.0, -6.489692, 53.208511], [1353889806000000.0, -6.486408, 53.210537], [1353889824000000.0, -6.483525, 53.212551], [1353889844000000.0, -6.479716, 53.214336], [1353889862000000.0, -6.475696, 53.215473], [1353889883000000.0, -6.473351, 53.217323], [1353889903000000.0, -6.470734, 53.219597], [1353889923000000.0, -6.468747, 53.22184], [1353889944000000.0, -6.467266, 53.22374], [1353889964000000.0, -6.464464, 53.22649], [1353889984000000.0, -6.462063, 53.228809], [1353890003000000.0, -6.459717, 53.230598], [1353890023000000.0, -6.458333, 53.23143], [1353890045000000.0, -6.457186, 53.232136], [1353890063000000.0, -6.455629, 53.234032], [1353890084000000.0, -6.454535, 53.236122], [1353890104000000.0, -6.454916, 53.237534], [1353890124000000.0, -6.455332, 53.238205], [1353890144000000.0, -6.455623, 53.240242], [1353890167000000.0, -6.455726, 53.242336], [1353890201000000.0, -6.455726, 53.242336], [1353890221000000.0, -6.455525, 53.248627], [1353890242000000.0, -6.453919, 53.250511], [1353890262000000.0, -6.453733, 53.250729], [1353890282000000.0, -6.451985, 53.252377], [1353890300000000.0, -6.450391, 53.254173], [1353890323000000.0, -6.448361, 53.25563], [1353890343000000.0, -6.447948, 53.257629], [1353890361000000.0, -6.446432, 53.259827], [1353890382000000.0, -6.445145, 53.261768], [1353890402000000.0, -6.442992, 53.263515], [1353890422000000.0, -6.441159, 53.26543], [1353890440000000.0, -6.43865, 53.267311], [1353890461000000.0, -6.435615, 53.269539], [1353890481000000.0, -6.432891, 53.27161], [1353890501000000.0, -6.430642, 53.273262], [1353890521000000.0, -6.427403, 53.273785], [1353890542000000.0, -6.426097, 53.273972], [1353890562000000.0, -6.424816, 53.274197], [1353890584000000.0, -6.423017, 53.274837], [1353890623000000.0, -6.417319, 53.275341], [1353890641000000.0, -6.41386, 53.274929], [1353890661000000.0, -6.410859, 53.274643], [1353890722000000.0, -6.404949, 53.274174], [1353890742000000.0, -6.401892, 53.274746], [1353890762000000.0, -6.399669, 53.276085], [1353890783000000.0, -6.397691, 53.277569], [1353890801000000.0, -6.394717, 53.27874], [1353890821000000.0, -6.391534, 53.279961], [1353890841000000.0, -6.388835, 53.281216], [1353890861000000.0, -6.387799, 53.281849], [1353890882000000.0, -6.386195, 53.282764], [1353890922000000.0, -6.380661, 53.284184], [1353890962000000.0, -6.376962, 53.285645], [1353890980000000.0, -6.375083, 53.286263], [1353891000000000.0, -6.375487, 53.288429], [1353891021000000.0, -6.375368, 53.289215], [1353891041000000.0, -6.371555, 53.290012], [1353891061000000.0, -6.369014, 53.290535], [1353891081000000.0, -6.368178, 53.290733], [1353891101000000.0, -6.367849, 53.289436], [1353891122000000.0, -6.366857, 53.289246], [1353891142000000.0, -6.364301, 53.289272], [1353891162000000.0, -6.362338, 53.287857], [1353891202000000.0, -6.355146, 53.288242], [1353891222000000.0, -6.350632, 53.288666], [1353891242000000.0, -6.3459, 53.289146], [1353891261000000.0, -6.341343, 53.2896], [1353891281000000.0, -6.339486, 53.289383], [1353891321000000.0, -6.333412, 53.290092], [1353891341000000.0, -6.332228, 53.29126], [1353891360000000.0, -6.329029, 53.291576], [1353891382000000.0, -6.323969, 53.292744], [1353891402000000.0, -6.320354, 53.293648], [1353891442000000.0, -6.31193, 53.295971], [1353891464000000.0, -6.308942, 53.296379], [1353891484000000.0, -6.305474, 53.297436], [1353891502000000.0, -6.30318, 53.298481], [1353891522000000.0, -6.300376, 53.299603], [1353891543000000.0, -6.296919, 53.302029], [1353891563000000.0, -6.293149, 53.304321], [1353891603000000.0, -6.285967, 53.308773], [1353891623000000.0, -6.283375, 53.309902], [1353891643000000.0, -6.279274, 53.310966], [1353891661000000.0, -6.275002, 53.311848], [1353891683000000.0, -6.272822, 53.313885], [1353891703000000.0, -6.271, 53.316463], [1353891724000000.0, -6.269077, 53.319164], [1353891762000000.0, -6.265732, 53.322197], [1353891782000000.0, -6.265322, 53.324467], [1353891802000000.0, -6.265104, 53.325638], [1353891822000000.0, -6.26467, 53.328037], [1353891842000000.0, -6.264386, 53.329681], [1353891862000000.0, -6.264386, 53.329681], [1353891882000000.0, -6.264386, 53.329681], [1353891902000000.0, -6.26431, 53.33007], [1353891923000000.0, -6.264632, 53.331493], [1353891943000000.0, -6.264811, 53.332298], [1353891961000000.0, -6.264811, 53.332298], [1353891981000000.0, -6.265206, 53.333916], [1353892001000000.0, -6.265304, 53.335732], [1353892021000000.0, -6.265664, 53.337074], [1353892041000000.0, -6.265996, 53.339035], [1353892061000000.0, -6.265575, 53.340839], [1353892081000000.0, -6.264635, 53.342308], [1353892101000000.0, -6.26371, 53.343159], [1353892122000000.0, -6.263717, 53.343262], [1353892144000000.0, -6.263755, 53.3438], [1353892164000000.0, -6.262859, 53.344261], [1353892182000000.0, -6.260074, 53.344494], [1353892202000000.0, -6.259094, 53.345432], [1353892222000000.0, -6.257299, 53.345924], [1353892242000000.0, -6.257209, 53.345921], [1353892262000000.0, -6.257209, 53.345921], [1353892282000000.0, -6.257209, 53.345921], [1353892302000000.0, -6.256105, 53.345905], [1353892323000000.0, -6.256017, 53.34684], [1353892343000000.0, -6.257145, 53.346649], [1353892383000000.0, -6.257145, 53.346649], [1353892409000000.0, -6.243717, 53.343102], [1353892421000000.0, -6.239417, 53.342548], [1353892441000000.0, -6.236166, 53.342133], [1353892461000000.0, -6.234334, 53.3419], [1353892469000000.0, -6.234334, 53.3419], [1353892483000000.0, -6.234334, 53.3419], [1353892502000000.0, -6.233366, 53.341934], [1353892522000000.0, -6.233366, 53.341934], [1353892528000000.0, -6.233366, 53.341934]]
3;791001;[[1353888001000000.0, -6.2938, 53.348015], [1353888021000000.0, -6.297083, 53.347916]]
4;033A1001;[[1353888001000000.0, -6.1848, 53.603085], [1353888113000000.0, -6.223802, 53.453442], [1353888133000000.0, -6.169233, 53.60405], [1353888153000000.0, -6.166217, 53.601799], [1353888174000000.0, -6.163617, 53.598999], [1353888194000000.0, -6.161, 53.596115], [1353888215000000.0, -6.1582, 53.593266], [1353888254000000.0, -6.152267, 53.587734], [1353888294000000.0, -6.145133, 53.585518], [1353888313000000.0, -6.1405, 53.586498], [1353888333000000.0, -6.135667, 53.586349], [1353888354000000.0, -6.1319, 53.585667], [1353888372000000.0, -6.127917, 53.584949], [1353888394000000.0, -6.124567, 53.583649], [1353888415000000.0, -6.125, 53.582218], [1353888434000000.0, -6.128083, 53.580368], [1353888452000000.0, -6.1281, 53.579266], [1353888473000000.0, -6.124133, 53.577633], [1353888493000000.0, -6.119417, 53.576118], [1353888515000000.0, -6.115517, 53.576015], [1353888534000000.0, -6.114183, 53.575367], [1353888554000000.0, -6.11555, 53.573799], [1353888574000000.0, -6.11555, 53.573799], [1353888593000000.0, -6.1189, 53.574184], [1353888613000000.0, -6.11925, 53.574299], [1353888634000000.0, -6.119167, 53.574299], [1353888654000000.0, -6.119167, 53.574299], [1353888673000000.0, -6.119184, 53.574299], [1353888693000000.0, -6.119184, 53.574299], [1353888713000000.0, -6.119184, 53.574299], [1353888733000000.0, -6.119184, 53.574299], [1353888754000000.0, -6.119184, 53.574299], [1353888774000000.0, -6.119167, 53.574299], [1353888792000000.0, -6.119167, 53.574299], [1353888813000000.0, -6.119167, 53.574299], [1353888833000000.0, -6.119184, 53.574299], [1353888874000000.0, -6.118967, 53.574318], [1353888892000000.0, -6.118883, 53.574532]]
5;1400002;[[1353888003000000.0, -6.277333, 53.416431], [1353888023000000.0, -6.2777, 53.416233]]
6;130004;[[1353912941000000.0, -6.277383, 53.417084], [1353912943000000.0, -6.2774, 53.417084], [1353912954000000.0, -6.2774, 53.417084], [1353912964000000.0, -6.2774, 53.417084], [1353912986000000.0, -6.2774, 53.417084], [1353913004000000.0, -6.2774, 53.417084]]
7;046A1001;[[1353888003000000.0, -6.258733, 53.343132], [1353888023000000.0, -6.255283, 53.342365], [1353888027000000.0, -6.255283, 53.342365], [1353888044000000.0, -6.252283, 53.341766], [1353888062000000.0, -6.249667, 53.340816], [1353888082000000.0, -6.24635, 53.339668], [1353888086000000.0, -6.297758, 53.351505]]
8;141001;[[1353888003000000.0, -6.248333, 53.34565], [1353888023000000.0, -6.249183, 53.344185], [1353888027000000.0, -6.249183, 53.344185], [1353888044000000.0, -6.250533, 53.342068], [1353888064000000.0, -6.250517, 53.341316], [1353888086000000.0, -6.250517, 53.341316], [1353888103000000.0, -6.244633, 53.3391], [1353888123000000.0, -6.240883, 53.337769], [1353888145000000.0, -6.238433, 53.336449], [1353888147000000.0, -6.238433, 53.336449], [1353888164000000.0, -6.237134, 53.334984], [1353888184000000.0, -6.23525, 53.332298], [1353888203000000.0, -6.232467, 53.329884], [1353888207000000.0, -6.232467, 53.329884], [1353888223000000.0, -6.2308, 53.329033], [1353888243000000.0, -6.23075, 53.329018], [1353888264000000.0, -6.230866, 53.327332], [1353888268000000.0, -6.230866, 53.327332], [1353888284000000.0, -6.231083, 53.325367], [1353888305000000.0, -6.230283, 53.323349], [1353888325000000.0, -6.230834, 53.321033], [1353888327000000.0, -6.230834, 53.321033], [1353888343000000.0, -6.231483, 53.319401], [1353888364000000.0, -6.231483, 53.319401], [1353888382000000.0, -6.232083, 53.318085], [1353888386000000.0, -6.232083, 53.318085], [1353888423000000.0, -6.231117, 53.317234]]
9;271001;[[1353888003000000.0, -6.173066, 53.402138], [1353888023000000.0, -6.173066, 53.402138], [1353888027000000.0, -6.18755, 53.396149], [1353888044000000.0, -6.19035, 53.39365], [1353888062000000.0, -6.193917, 53.391983], [1353888082000000.0, -6.194483, 53.391651], [1353888086000000.0, -6.194483, 53.391651], [1353888103000000.0, -6.194517, 53.391632], [1353888123000000.0, -6.196434, 53.390251], [1353888145000000.0, -6.197283, 53.389534], [1353888147000000.0, -6.197283, 53.389534], [1353888164000000.0, -6.198383, 53.388649], [1353888184000000.0, -6.201467, 53.386333], [1353888203000000.0, -6.203516, 53.383633], [1353888207000000.0, -6.203516, 53.383633], [1353888223000000.0, -6.205184, 53.382866], [1353888241000000.0, -6.208167, 53.381451], [1353888262000000.0, -6.211167, 53.379398], [1353888268000000.0, -6.211167, 53.379398], [1353888284000000.0, -6.214817, 53.377701], [1353888305000000.0, -6.217983, 53.375866], [1353888325000000.0, -6.218317, 53.375683], [1353888327000000.0, -6.218317, 53.375683], [1353888343000000.0, -6.219267, 53.375015], [1353888364000000.0, -6.221766, 53.372833], [1353888382000000.0, -6.2244, 53.370152], [1353888402000000.0, -6.227267, 53.367802], [1353888423000000.0, -6.2292, 53.36525], [1353888442000000.0, -6.229434, 53.364517], [1353888485000000.0, -6.232467, 53.363983], [1353888521000000.0, -6.238633, 53.360832], [1353888542000000.0, -6.241217, 53.358532], [1353888564000000.0, -6.244317, 53.356434], [1353888582000000.0, -6.24605, 53.355217], [1353888603000000.0, -6.24635, 53.354916], [1353888624000000.0, -6.246533, 53.354683], [1353888642000000.0, -6.2443, 53.352982], [1353888662000000.0, -6.241633, 53.351017], [1353888683000000.0, -6.240867, 53.349335], [1353888703000000.0, -6.241133, 53.3475], [1353888723000000.0, -6.2407, 53.346199], [1353888744000000.0, -6.240716, 53.344334], [1353888762000000.0, -6.240983, 53.342999], [1353888782000000.0, -6.240617, 53.342766], [1353888803000000.0, -6.237267, 53.342335], [1353888843000000.0, -6.234283, 53.342167]]
